"";"orig.ident";"nCount_RNA";"nFeature_RNA";"batches";"dataset";"nCount";"nUMI";"pMito";"pRibo";"pHb";"pChY";"pChX";"pnonXY";"pPCG";"pNCG";"pMito_UMIs";"pRibo_UMIs";"pHb_UMIs";"pChY_UMIs";"pChX_UMIs";"pnonXY_UMIs";"pPCG_UMIs";"pNCG_UMIs";"SEL_nCount";"SEL_nUMI";"SEL_pMito";"SEL_pRibo";"SEL_pHb";"SEL_pChY";"SEL_pChX";"SEL_pnonXY";"SEL_pPCG";"SEL_pNCG";"SEL_pMito_UMIs";"SEL_pRibo_UMIs";"SEL_pHb_UMIs";"SEL_pChY_UMIs";"SEL_pChX_UMIs";"SEL_pnonXY_UMIs";"SEL_pPCG_UMIs";"SEL_pNCG_UMIs";"S.Score";"G2M.Score";"Phase";"metadata_clusters";"clusters";"outlier";"subgroups"
"GSM2877130SIGAF1counts_12";"GSM2877130SIGAF1counts";8114;2578;"GSM2877130SIGAF1counts";"GSE108097";92,4175308044962;51,1272921246569;0,196265329633051;0,538745806175511;0,0153024382934963;0,0108204578860199;0,187103207749296;0,982280666276732;0,994246414995505;0,107117068054474;0,0618510687493134;0,179261427880153;0,0276606388408955;0,0195590252963492;0,171629750427566;0,984967346310337;0,995014350532632;0,0997318516529396;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0,0427219586229661;-0,0517392782283863;"S";"22";"1";FALSE;"1_GSM2877130SIGAF1counts"
"GSM2877130SIGAF1counts_2881";"GSM2877130SIGAF1counts";10664;3037;"GSM2877130SIGAF1counts";"GSE108097";105,655099261702;55,4797260267208;0,184015937054456;0,576573947379311;0;0,00946475851130534;0,193275838074616;0,98109880682981;0,99456554329267;0,104112343624359;0,0624390541054463;0,166178622671144;0;0,0180246023478625;0,170996392014192;0,985106769659173;0,99527800015666;0,0970654542263031;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0,0253922907685943;-0,0725344562996879;"S";"8";"1";FALSE;"1_GSM2877130SIGAF1counts"
"GSM2877130SIGAF1counts_6117";"GSM2877130SIGAF1counts";10131;3129;"GSM2877130SIGAF1counts";"GSE108097";103,353761421634;56,276105053566;0,182300512552733;0,524712276610704;0,00967550659255138;0,00967550659255138;0,199700205939772;0,979809273440393;0,990783213496671;0,135457092295719;0,0615554614492327;0,164787852440546;0,0177695311189031;0,0177695311189031;0,165743152341666;0,98600884946113;0,995886709349599;0,090607185922681;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0,0175671987349089;0,0105078768912213;"S";"16";"1";FALSE;"1_GSM2877130SIGAF1counts"
"GSM2877130SIGAF1counts_1651";"GSM2877130SIGAF1counts";11357;3006;"GSM2877130SIGAF1counts";"GSE108097";108,88526071053;55,1724568965349;0,184824021783804;0,555991169747063;0;0;0,199103930570672;0,979978379777487;0,996027873589018;0,0885670906977071;0,0653505658126752;0,167104112738397;0;0;0,183053383997412;0,983102974569346;0,995885094881745;0,0887939338056565;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0,00255767323014276;-0,0655250028030514;"S";"8";"1";FALSE;"1_GSM2877130SIGAF1counts"
"GSM2877130SIGAF1counts_3682";"GSM2877130SIGAF1counts";6555;2326;"GSM2877130SIGAF1counts";"GSE108097";83,0602191184203;48,6723740945518;0,17978744435742;0,568537818870234;0;0;0,190360541648696;0,981714247723448;0,991191821124789;0,131885651956749;0,0616366071269124;0,188302945159554;0;0;0,170664037196572;0,985329278164293;0,992798042263716;0,118025116986867;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0417631909433499;-0,0589314048110002;"G1";"8";"1";FALSE;"1_GSM2877130SIGAF1counts"
"GSM2877130SIGAF1counts_2089";"GSM2877130SIGAF1counts";5085;2039;"GSM2877130SIGAF1counts";"GSE108097";72,7048829171741;45,5192267069642;0,162742295860355;0,540105509514106;0;0,0307554030455854;0,193539233059495;0,98061035607944;0,994213298663191;0,107424004585829;0,06213697660012;0,200144735274039;0;0,0219687387581873;0,172982021964076;0,984679945258658;0,993948873400621;0,109843693790937;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0,0365272433805377;-0,030471478347722;"S";"8";"1";FALSE;"1_GSM2877130SIGAF1counts"
"GSM2877130SIGAF1counts_4306";"GSM2877130SIGAF1counts";7661;2522;"GSM2877130SIGAF1counts";"GSE108097";89,7106459680232;50,5667875190821;0,19403377378125;0,503467104435343;0;0;0,193392338062994;0,981121502964097;0,994767623243978;0,102163475594396;0,0655889953282839;0,182324108562636;0;0;0,171263678448553;0,985225229297479;0,995295936283358;0,0968813667215394;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,00432525983947489;-0,071566066017247;"G1";"8";"1";FALSE;"1_GSM2877130SIGAF1counts"
"GSM2877131SIGAG1counts_316";"GSM2877131SIGAG1counts";10293;2983;"GSM2877131SIGAG1counts";"GSE108097";103,368273662667;55,0181788139157;0,164175739297524;0,555737504651078;0;0;0,18124510869104;0,983437954614104;0,995168487344273;0,0981818812047903;0,0629628550020559;0,169532675456892;0;0;0,172430879847765;0,985021619902287;0,994866240824602;0,101198630759144;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0,00595990928731138;-0,0411294093910944;"S";"8";"1";FALSE;"1_GSM2877131SIGAG1counts"
"GSM2877131SIGAG1counts_6163";"GSM2877131SIGAG1counts";7782;2392;"GSM2877131SIGAG1counts";"GSE108097";90,6421535489973;49,254441424099;0,210484672763492;0,567391235411177;0,0110323945410172;0;0,18884417567783;0,982007065816006;0,995730906896232;0,0923036350942184;0,0673365628451256;0,188279842941399;0,0203027376026789;0;0,16494022000341;0,986303565757129;0,995248397865702;0,097368509004474;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0314705849869173;-0,0623171157734242;"G1";"22";"1";FALSE;"1_GSM2877131SIGAG1counts"
"GSM2877131SIGAG1counts_4105";"GSM2877131SIGAG1counts";10724;3101;"GSM2877131SIGAG1counts";"GSE108097";106,611444038621;56,1515805654658;0,209949593005146;0,54604943058667;0;0,00937985606533705;0,193143057648808;0,981125770521936;0,993777933105426;0,11098395367305;0,0616919698475636;0,166110712452951;0;0,0178089376991646;0,185075909542691;0,982562847580231;0,993636588256034;0,111216780284884;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0,0250703952945059;-0,0280167442869813;"S";"4";"1";FALSE;"1_GSM2877131SIGAG1counts"
"GSM2877131SIGAG1counts_7232";"GSM2877131SIGAG1counts";9724;2868;"GSM2877131SIGAG1counts";"GSE108097";101,113797278116;54;0,202440122332235;0,549042415788524;0;0;0,194304666952119;0,980941229840313;0,996030855339699;0,0879028842410929;0,0641500299099584;0,171733675842513;0;0;0,175682092231577;0,984446952592742;0,993807989999906;0,109557033020363;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0427948847220803;-0,0312976362571681;"G1";"8";"1";FALSE;"1_GSM2877131SIGAG1counts"
"GSM2877131SIGAG1counts_1917";"GSM2877131SIGAG1counts";9577;2756;"GSM2877131SIGAG1counts";"GSE108097";100,304536288246;52,8393792544916;0,190208586115309;0,525088677721416;0;0,00996963883194968;0,193831932379931;0,980984091762666;0,994018488855845;0,108755919904632;0,0682360642069333;0,176523251875559;0;0,0189252791026116;0,181524900215592;0,983204223146243;0,995872570990099;0,0887674273619465;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0,0295411135749465;-0,0338611114160118;"S";"8";"1";FALSE;"1_GSM2877131SIGAG1counts"
"GSM2877131SIGAG1counts_6610";"GSM2877131SIGAG1counts";16890;3897;"GSM2877131SIGAG1counts";"GSE108097";132,992480990468;62,8569805192709;0,186622184255368;0,515217623900216;0,0106337858489493;0,00751922208347758;0,187227119988551;0,982287873711191;0,994870089592576;0,101160787037562;0,0551108498454793;0,1492408868856;0,0224989102354276;0,0159091319967783;0,163794538902971;0,986366183800252;0,994670689124085;0,103102959207864;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0,038832123592888;-0,0674624515637354;"S";"22";"1";FALSE;"1_GSM2877131SIGAG1counts"
"GSM2877132SIGAH1counts_2382";"GSM2877132SIGAH1counts";6813;2132;"GSM2877132SIGAH1counts";"GSE108097";84,5694980474639;46,5832587954085;0,19573186242582;0,605137401891327;0;0;0,202404450349425;0,979302015967877;0,995445444567215;0,095332926580381;0,0743636599223753;0,197915403423893;0;0;0,17439824122903;0,984675202011415;0,993991163532012;0,109460343596558;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0,0112507432742746;-0,0584424026537588;"S";"8";"1";FALSE;"1_GSM2877132SIGAH1counts"
"GSM2877132SIGAH1counts_6795";"GSM2877132SIGAH1counts";7779;2397;"GSM2877132SIGAH1counts";"GSE108097";90,2108640907513;49,3153120237518;0,181132669585452;0,566644740539282;0;0,0156767544200708;0,194858967469409;0,98070598150904;0,994331439239064;0,106324921541338;0,0641236470053221;0,186950950505037;0;0,0202776776413453;0,164736631915117;0,986129128408008;0,994846920252981;0,101388388206727;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0485340601066183;-0,0805499702594648;"G1";"8";"1";FALSE;"1_GSM2877132SIGAH1counts"
"GSM2877132SIGAH1counts_5669";"GSM2877132SIGAH1counts";4419;1695;"GSM2877132SIGAH1counts";"GSE108097";67,9117073853986;41,4487635521254;0,186258174439495;0,612814869418488;0;0;0,187418672735276;0,982280123544271;0,996415953715482;0,0845886941692935;0,0762936548442884;0,217135548294021;0;0;0,183739452113847;0,982974981236503;0,996209346322173;0,0869881503444535;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0727775035985719;-0,0694326977148914;"G1";"8";"1";FALSE;"1_GSM2877132SIGAH1counts"
"GSM2877132SIGAH1counts_7315";"GSM2877132SIGAH1counts";6761;2246;"GSM2877132SIGAH1counts";"GSE108097";84,3563868358526;47,6969600708473;0,188183828893447;0,561806689711714;0;0,0118544669527617;0,187810077126506;0,98213382313359;0,992736408200276;0,120309699665548;0,0628970902033151;0,193294173121275;0;0,0209656967344384;0,182774706692675;0,982931251997741;0,995594692236148;0,0937614461876991;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0356194272726254;-0,072264151894389;"G1";"8";"1";FALSE;"1_GSM2877132SIGAH1counts"
"GSM2877132SIGAH1counts_3651";"GSM2877132SIGAH1counts";8144;2686;"GSM2877132SIGAH1counts";"GSE108097";92,233399590387;52,2206855565876;0,170740922680518;0,586674645781076;0;0,0153329874931824;0,20138231598852;0,97939270075983;0,993217861768353;0,116268134346002;0,0605560349593966;0,177585154171264;0;0,0191494996540475;0,180656018424609;0,983359903428021;0,994299852435365;0,106619901739832;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0702439550270499;-0,0668296332735235;"G1";"8";"1";FALSE;"1_GSM2877132SIGAH1counts"
"GSM2877133SIGAG8counts_4345";"GSM2877133SIGAG8counts";11016;2577;"GSM2877133SIGAG8counts";"GSE108097";106,498826284612;51,0979451641649;0,150822116680265;0,6272903722152;0,00938977484434951;0;0,201169215033162;0,979556505222104;0,996997785719369;0,0774300669680413;0,0618865915255256;0,181487111970978;0,0195702585845135;0;0,1613804865292;0,986892262897829;0,995393449593901;0,0958742953327607;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0260615440220113;-0,0506111727621234;"G1";"16";"1";FALSE;"1_GSM2877133SIGAG8counts"
"GSM2877133SIGAG8counts_1513";"GSM2877133SIGAG8counts";11901;2639;"GSM2877133SIGAG8counts";"GSE108097";111,180034178804;51,720402163943;0,172777179411596;0,631021274506288;0;0;0,192699034893021;0,981257907968796;0,996312268354221;0,0858013049251977;0,0611417840515743;0,178257400784875;0;0;0,160606327781207;0,987018544646774;0,995128320284261;0,0985881644429203;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,00471212794950239;-0,0599173128804708;"G1";"19";"1";FALSE;"1_GSM2877133SIGAG8counts"
"GSM2877133SIGAG8counts_4026";"GSM2877133SIGAG8counts";11620;2604;"GSM2877133SIGAG8counts";"GSE108097";109,466889971352;51,4392845984467;0,151214174090256;0,607953076453677;0;0;0,197624210009488;0,980277854293427;0,996279484624136;0,0856956064258508;0,0644764952748886;0,174963553055941;0;0;0,170588771906386;0,985342311534155;0,994124842547412;0,10647942749999;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0428001283886693;-0,0772309910092317;"G1";"19";"1";FALSE;"1_GSM2877133SIGAG8counts"
"GSM2877133SIGAG8counts_26";"GSM2877133SIGAG8counts";13910;2995;"GSM2877133SIGAG8counts";"GSE108097";119,599331101808;55,0454357780915;0,142386969969173;0,629430604519704;0;0;0,205999228946668;0,978552153783015;0,996358021239201;0,0852683617310914;0,0602524940255889;0,166501568392696;0;0;0,179842248438548;0,983695463889393;0,996031730378502;0,088998831897997;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,00857005896078536;-0,0793265944769256;"G1";"19";"1";FALSE;"1_GSM2877133SIGAG8counts"
"GSM2877133SIGAG8counts_39";"GSM2877133SIGAG8counts";12319;2777;"GSM2877133SIGAG8counts";"GSE108097";112,672090599225;53,2071423776921;0,145023799163274;0,649900771048574;0;0;0,205669925260731;0,978621419060121;0,99569771642655;0,0926609815561756;0,0623342025552183;0,17429273742361;0;0;0,165988257810115;0,98612772918581;0,99237645117198;0,123243576543801;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0522011397828367;-0,0777108181153594;"G1";"19";"1";FALSE;"1_GSM2877133SIGAG8counts"
"GSM2877133SIGAG8counts_1929";"GSM2877133SIGAG8counts";20356;3771;"GSM2877133SIGAG8counts";"GSE108097";145,633100633063;61,8950725017751;0,17344039075479;0,658618336417388;0;0,00686657082526585;0,201718301096634;0,97941951032629;0,994918486156954;0,100683692339695;0,0559673246208477;0,150696633448831;0;0,0161563749678348;0,176245243340217;0,984213689067494;0,993715570120112;0,111934649241695;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0,00501896868241926;-0,0545525969080574;"S";"19";"1";FALSE;"1_GSM2877133SIGAG8counts"
"GSM2877133SIGAG8counts_5570";"GSM2877133SIGAG8counts";11496;2990;"GSM2877133SIGAG8counts";"GSE108097";109,736046949031;55,0272659687904;0,17599693494334;0,614420085274864;0;0;0,205795453810739;0,978595029208115;0,992790821713446;0,119512935022121;0,0574674682540455;0,165562170294112;0;0;0,17619192129828;0,984355833461264;0,995365747983583;0,0944286860563582;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0,0442217727141573;-0,0102391052445306;"S";"19";"1";FALSE;"1_GSM2877133SIGAG8counts"
"GSM2877133SIGAG8counts_985";"GSM2877133SIGAG8counts";9764;2420;"GSM2877133SIGAG8counts";"GSE108097";100,737282075704;49,6386945839634;0,171363333871358;0,637483721108825;0,00992681139886719;0,00992681139886719;0,194017744800819;0,980947793268253;0,995753696316922;0,0915206790110178;0,0668153104781061;0,18353491475756;0,0201455741006345;0,0201455741006345;0,173298781104968;0,984663235990706;0,993280998940956;0,113960576459638;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0333670392884783;-0,0591865394616114;"G1";"13";"1";FALSE;"1_GSM2877133SIGAG8counts"
"GSM2877133SIGAG8counts_6218";"GSM2877133SIGAG8counts";11486;2610;"GSM2877133SIGAG8counts";"GSE108097";108,917399895517;51,516987489565;0,154179732897185;0,642164005634343;0,00918126948457533;0,00918126948457533;0,200941894033775;0,979560135730712;0,995987905354228;0,0894879454904259;0,0613832022070179;0,177905421813885;0,0194110729048851;0,0194110729048851;0,15407061476181;0,987869149187077;0,993573927020613;0,11318503233572;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0244056211769353;-0,0725730401794704;"G1";"16";"1";FALSE;"1_GSM2877133SIGAG8counts"
"GSM2877133SIGAG8counts_2282";"GSM2877133SIGAG8counts";10012;2519;"GSM2877133SIGAG8counts";"GSE108097";101,341008481266;50,4678115237822;0,145024592481887;0,604027379326184;0;0;0,190576433028079;0,981672360400502;0,997953114477443;0,0639498342825936;0,0594438298277764;0,180519687778638;0;0;0,156020394708443;0,987753833925752;0,996263139649177;0,0863698823454354;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0464179784527707;-0,00892245616101567;"G1";"19";"1";FALSE;"1_GSM2877133SIGAG8counts"
"GSM2877134SIGAH8counts_5327";"GSM2877134SIGAH8counts";15352;3159;"GSM2877134SIGAH8counts";"GSE132042";126,19429464124;56,5243310442503;0,162206140528396;0,61723035602754;0;0;0,203269971512472;0,979122729120981;0,995153088891187;0,0983378343788883;0,0586760555867342;0,165015293074178;0;0;0,186391480592753;0,982475554893068;0,996079953550625;0,0884574820723792;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0236452749995661;-0,0846461015612681;"G1";"8";"1";FALSE;"1_GSM2877134SIGAH8counts"
"GSM2877134SIGAH8counts_2442";"GSM2877134SIGAH8counts";18471;3374;"GSM2877134SIGAH8counts";"GSE132042";138,325702600782;58,4037670017954;0,14991025502451;0,520410223246925;0,00722931444553058;0;0,202291668382303;0,979325319239273;0,993892712493105;0,110350695752674;0,0567878573697728;0,161530353543233;0,0171221832312505;0;0,175450168576363;0,984488312955784;0,996181510507138;0,0873063464114573;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0570616479091421;0,0639778241257777;"G2M";"16";"1";FALSE;"1_GSM2877134SIGAH8counts"
"GSM2877134SIGAH8counts_4071";"GSM2877134SIGAH8counts";14914;3080;"GSM2877134SIGAH8counts";"GSE132042";123,846679406434;55,8480080217728;0,141706898068617;0,641300348037697;0,00807449989610339;0;0,209470642785744;0,977814936381587;0,996211365306393;0,0862120672367146;0,0593866264498169;0,167970745097832;0,0179057415908217;0;0,171745839939108;0,985141292639594;0,995501262533763;0,093040962547507;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0507758480998608;-0,0815542884943415;"G1";"16";"1";FALSE;"1_GSM2877134SIGAH8counts"
"GSM2877134SIGAH8counts_649";"GSM2877134SIGAH8counts";16241;3211;"GSM2877134SIGAH8counts";"GSE132042";129,788289148135;57,0788927713213;0,165071020091618;0,625328646154955;0;0;0,203705652538717;0,979032178798928;0,995686750179012;0,0924582647537919;0,0554018746095445;0,161522832866253;0;0;0,167126437655119;0,985935471436498;0,994305455819322;0,105117666245527;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0315891188011624;-0,0694535629695203;"G1";"19";"1";FALSE;"1_GSM2877134SIGAH8counts"
"GSM2877134SIGAH8counts_1113";"GSM2877134SIGAH8counts";10782;2653;"GSM2877134SIGAH8counts";"GSE132042";105,612499260267;52,0384473250308;0,143285558588373;0,636722151116788;0,00946857622917944;0;0,207446111527151;0,978246446869226;0,99356906512808;0,11322770341446;0,0665681201727843;0,176122691222249;0,0192165610506022;0;0,178207055978687;0,983993010747236;0,992028791215106;0,12601141773782;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0444289260705235;-0,0657710895943158;"G1";"13";"1";FALSE;"1_GSM2877134SIGAH8counts"
"GSM2877134SIGAH8counts_2483";"GSM2877134SIGAH8counts";14907;3285;"GSM2877134SIGAH8counts";"GSE132042";124,967995902951;57,8013840664737;0,181771606554704;0,599192643724903;0,0080020487867677;0;0,194204300258368;0,980961105121481;0,993801626350218;0,111168014571015;0,0547093761030297;0,161369475899781;0,0173006237852361;0;0,168625622071606;0,985680171039757;0,993242658542653;0,116056112510813;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,026754286750656;-0,0496663160143105;"G1";"16";"1";FALSE;"1_GSM2877134SIGAH8counts"
"GSM2877134SIGAH8counts_1198";"GSM2877134SIGAH8counts";14254;3086;"GSM2877134SIGAH8counts";"GSE132042";121,354851571744;55,9821400091136;0,144381664523538;0,641738742877612;0,00824029684061546;0;0,201676951387244;0,979452095448852;0,994348121295775;0,105527288847572;0,0564872593233052;0,16756829085347;0,0178628398242226;0;0,176833092393397;0,984240853365978;0,993918970655927;0,1086554127675;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0405276407624309;-0,0733119611829299;"G1";"16";"1";FALSE;"1_GSM2877134SIGAH8counts"
"GSM2877134SIGAH8counts_6706";"GSM2877134SIGAH8counts";9548;2420;"GSM2877134SIGAH8counts";"GSE132042";99,3227063666713;49,5782210249622;0,145901952094332;0,631974516221638;0;0;0,201866606229443;0,979413024872248;0,994562000701174;0,104146179772843;0,060510440632582;0,184862449689292;0;0;0,168755556217482;0,985657933689842;0,994083391910976;0,108619565119594;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0392667886786927;-0,0871467606880816;"G1";"19";"1";FALSE;"1_GSM2877134SIGAH8counts"
"GSM2877134SIGAH8counts_6157";"GSM2877134SIGAH8counts";21252;3751;"GSM2877134SIGAH8counts";"GSE132042";148,32734070292;61,6360284249399;0,142379091958784;0,529481721253171;0,00674184540261441;0;0,19199468956188;0,981395964521985;0,993090075839989;0,117354596280351;0,0538098393927891;0,151329981691595;0,0162242770268334;0;0,162242770268334;0,986750872052139;0,995118382351262;0,0986884243800001;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0105757063812249;0,000227107735413956;"G2M";"16";"1";FALSE;"1_GSM2877134SIGAH8counts"
"GSM2877134SIGAH8counts_4689";"GSM2877134SIGAH8counts";12215;2713;"GSM2877134SIGAH8counts";"GSE132042";112,995575134604;52,5166640220035;0,176110867336417;0,659362398025414;0,00884990406755986;0;0,202002816427424;0,979384940743622;0,993832799863847;0,110888980132324;0,0602147474341371;0,175554647824357;0,0190415750623653;0;0,170313024952455;0,985390010874651;0,993634562940546;0,112651477264833;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0459999938701826;-0,0765476659412541;"G1";"13";"1";FALSE;"1_GSM2877134SIGAH8counts"
"GSM2906396BoneMarrow1_456";"GSM2906396BoneMarrow1";485;306;"GSM2906396BoneMarrow1";"GSE132042";23,3452350598575;18,9472953214964;0,0856705873756239;0,370964525122123;0;0;0,148385810048849;0,988929548236954;0,942376461131863;0,128505881063436;0,0914141453004008;0,369445869778482;0;0;0,129279124076572;0,991608243248307;0,921727819208008;0,149278674172415;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-0,0517081418753347;-0,00560135513011327;"G1";"2";"1";FALSE;"1_GSM2906396BoneMarrow1"
"GSM2906396BoneMarrow1_17";"GSM2906396BoneMarrow1";3149;1129;"GSM2906396BoneMarrow1";"GSE132042";58,309518948453;36,0138862107382;0,0747545001596402;0,252633191429323;0,0242535625036333;0;0,177399515882356;0,984138918936095;0,964365076099296;0,0707106781186548;0,0785371261572666;0,257501188325813;0,0277670672403533;0;0,179951162739985;0,983675545608677;0,935465860549112;0,10011558470435;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0,0236498088258982;0,0458528611670599;"G2M";"1";"1";FALSE;"1_GSM2906396BoneMarrow1"
