"";"V1"
"1252";"Hmgb3"
"1253";"Hmgcl"
"1254";"Hmgcs1"
"1255";"Hmgcs2"
"1256";"Hmgn1"
"1257";"Hmgn2"
"1258";"Hmgn3"
"1259";"Hmgn5"
"1260";"Hmox1"
"1261";"Hnmt"
"1262";"Hnrnpa0"
"1263";"Hnrnpa1"
"1264";"Hnrnpa2b1"
"1265";"Hnrnpa3"
"1266";"Hnrnpab"
"1267";"Hnrnpd"
"1268";"Hnrnpdl"
"1269";"Hnrnpll"
"1270";"Hook2"
"1271";"Hoxa7"
"1272";"Hoxa9"
"1273";"Hp"
"1274";"Hpf1"
"1275";"Hpgd"
"1276";"Hpn"
"1277";"Hpse"
"1278";"Hras"
"1279";"Hs3st1"
"1280";"Hs6st1"
"1281";"Hsd11b1"
"1282";"Hsd17b1"
"1283";"Hsdl2"
"1284";"Hsp90aa1"
"1285";"Hsp90ab1"
"1286";"Hsp90b1"
"1287";"Hspa1a"
"1288";"Hspa1b"
"1289";"Hspa2"
"1290";"Hspa4"
"1291";"Hspa4l"
"1292";"Hspa5"
"1293";"Hspa8"
"1294";"Hspa9"
"1295";"Hspd1"
"1296";"Hspe1"
"1297";"Hsph1"
"1298";"Htra2"
"1299";"Hvcn1"
"1300";"Hyou1"
"1301";"Hypk"
"1302";"Iars"
"1303";"Iars2"
"1304";"Icam1"
"1305";"Icam4"
"1306";"Id1"
"1307";"Id2"
"1308";"Id3"
"1309";"Ide"
"1310";"Idh1"
"1311";"Idh2"
"1312";"Idh3a"
"1313";"Ier3"
"1314";"Ier5"
"1315";"Ifi203"
"1316";"Ifi204"
"1317";"Ifi205"
"1318";"Ifi206"
"1319";"Ifi207"
"1320";"Ifi208"
"1321";"Ifi209"
"1322";"Ifi211"
"1323";"Ifi213"
"1324";"Ifi214"
"1325";"Ifi27"
"1326";"Ifi27l2a"
"1327";"Ifi30"
"1328";"Ifi44"
"1329";"Ifi47"
"1330";"Ifih1"
"1331";"Ifit1"
"1332";"Ifit1bl1"
"1333";"Ifit2"
"1334";"Ifit3"
"1335";"Ifit3b"
"1336";"Ifitm1"
"1337";"Ifitm10"
"1338";"Ifitm3"
"1339";"Ifitm6"
"1340";"Ifitm7"
"1341";"Ifng"
"1342";"Ifngr1"
"1343";"Ifnlr1"
"1344";"Ifrd2"
"1345";"Ift140"
"1346";"Ift27"
"1347";"Igf1"
"1348";"Igf1r"
"1349";"Igf2r"
"1350";"Igfbp4"
"1351";"Igfbp5"
"1352";"Igfbp7"
"1353";"Igha"
"1354";"Ighd"
"1355";"Ighg1"
"1356";"Ighg2b"
"1357";"Ighm"
"1358";"Igkc"
"1359";"Iglc1"
"1360";"Iglc2"
"1361";"Iglc3"
"1362";"Igll1"
"1363";"Igsf6"
"1364";"Igtp"
"1365";"Iigp1"
"1366";"Ikbke"
"1367";"Ikzf2"
"1368";"Ikzf3"
"1369";"Ikzf5"
"1370";"Il10ra"
"1371";"Il11ra1"
"1372";"Il12a"
"1373";"Il13ra1"
"1374";"Il17re"
"1375";"Il18"
"1376";"Il18bp"
"1377";"Il18r1"
"1378";"Il18rap"
"1379";"Il1b"
"1380";"Il1r1"
"1381";"Il1r2"
"1382";"Il1rl1"
"1383";"Il1rn"
"1384";"Il21r"
"1385";"Il22ra2"
"1386";"Il2rb"
"1387";"Il2rg"
"1388";"Il33"
"1389";"Il4"
"1390";"Il5ra"
"1391";"Il6"
"1392";"Il6ra"
"1393";"Il6st"
"1394";"Il7r"
"1395";"Immt"
"1396";"Imp4"
"1397";"Impa2"
"1398";"Impdh1"
"1399";"Impdh2"
"1400";"Incenp"
"1401";"Inhba"
"1402";"Ino80e"
"1403";"Ipo11"
"1404";"Ipo5"
"1405";"Iqcb1"
"1406";"Iqgap3"
"1407";"Irf4"
"1408";"Irf5"
"1409";"Irf7"
"1410";"Irf8"
"1411";"Irf9"
"1412";"Irgm1"
"1413";"Isca1"
"1414";"Isca2"
"1415";"Isg15"
"1416";"Isg20"
"1417";"Isyna1"
"1418";"Itga1"
"1419";"Itga2b"
"1420";"Itga4"
"1421";"Itga5"
"1422";"Itga6"
"1423";"Itgad"
"1424";"Itgam"
"1425";"Itgax"
"1426";"Itgb2l"
"1427";"Itgb3"
"1428";"Itgb5"
"1429";"Itgb7"
"1430";"Itih5"
"1431";"Itm2c"
"1432";"Itpr3"
"1433";"Itpripl1"
"1434";"Itsn1"
"1435";"Jagn1"
"1436";"Jaml"
"1437";"Jchain"
"1438";"Jmjd4"
"1439";"Jmjd7"
"1440";"Josd1"
"1441";"Josd2"
"1442";"Jun"
"1443";"Junb"
"1444";"Kalrn"
"1445";"Kars"
"1446";"Kat2a"
"1447";"Kcne3"
"1448";"Kcng2"
"1449";"Kcnip3"
"1450";"Kcnj10"
"1451";"Kcnk12"
"1452";"Kcnk5"
"1453";"Kcnk6"
"1454";"Kcnn4"
"1455";"Kctd1"
"1456";"Kctd14"
"1457";"Kdelr2"
"1458";"Kdm1b"
"1459";"Kel"
"1460";"Khk"
"1461";"Kif14"
"1462";"Kif15"
"1463";"Kif18a"
"1464";"Kif1b"
"1465";"Kif20a"
"1466";"Kif22"
"1467";"Kif3a"
"1468";"Kif4"
"1469";"Kif5a"
"1470";"Kifc1"
"1471";"Kit"
"1472";"Klf1"
"1473";"Klf10"
"1474";"Klf2"
"1475";"Klf3"
"1476";"Klf4"
"1477";"Klf5"
"1478";"Klf6"
"1479";"Klf7"
"1480";"Klf9"
"1481";"Klhl12"
"1482";"Klhl22"
"1483";"Klhl23"
"1484";"Klk1"
"1485";"Klk1b27"
"1486";"Klk8"
"1487";"Klra1"
"1488";"Klra17"
"1489";"Klra2"
"1490";"Klra3"
"1491";"Klra4"
"1492";"Klra6"
"1493";"Klra7"
"1494";"Klra8"
"1495";"Klra9"
"1496";"Klrb1a"
"1497";"Klrb1b"
"1498";"Klrb1c"
"1499";"Klrb1f"
"1500";"Klrc1"
"1501";"Klrc2"
"1502";"Klrd1"
"1503";"Klre1"
"1504";"Klrg1"
"1505";"Klri2"
"1506";"Klrk1"
"1507";"Kmo"
"1508";"Kmt2d"
"1509";"Kmt5a"
"1510";"Knl1"
"1511";"Knop1"
"1512";"Knstrn"
"1513";"Kntc1"
"1514";"Kpna2"
"1515";"Kpnb1"
"1516";"Krt18"
"1517";"Krt83"
"1518";"Krtcap2"
"1519";"Krtcap3"
"1520";"Kti12"
"1521";"Ktn1"
"1522";"L1cam"
"1523";"Lag3"
"1524";"Lair1"
"1525";"Lap3"
"1526";"Larp1"
"1527";"Larp1b"
"1528";"Lars2"
"1529";"Lat"
"1530";"Lat2"
"1531";"Lax1"
"1532";"Lbp"
"1533";"Lck"
"1534";"Lcn2"
"1535";"Lcorl"
"1536";"Lcp1"
"1537";"Ldb1"
"1538";"Ldha"
"1539";"Ldhb"
"1540";"Ldhc"
"1541";"Ldlr"
"1542";"Ldlrad4"
"1543";"Lef1"
"1544";"Lefty1"
"1545";"Leo1"
"1546";"Leprot"
"1547";"Lfng"
"1548";"Lgals1"
"1549";"Lgals3"
"1550";"Lgals3bp"
"1551";"Lgals9"
"1552";"Lgmn"
"1553";"Lgr5"
"1554";"Lhfpl2"
"1555";"Lias"
"1556";"Lifr"
"1557";"Lig1"
"1558";"Lilr4b"
"1559";"Lilra5"
"1560";"Lilra6"
"1561";"Lilrb4a"
"1562";"Limd2"
"1563";"Limk2"
"1564";"Lims1"
"1565";"Lipa"
"1566";"Lman1"
"1567";"Lmna"
"1568";"Lmnb1"
"1569";"Lmo1"
"1570";"Lmo2"
"1571";"Lmo4"
"1572";"Lnpk"
"1573";"Lonp1"
"1574";"Lpar6"
"1575";"Lpcat1"
"1576";"Lpcat2"
"1577";"Lpcat3"
"1578";"Lpin1"
"1579";"Lpin2"
"1580";"Lpl"
"1581";"Lpxn"
"1582";"Lrch3"
"1583";"Lrg1"
"1584";"Lrmp"
"1585";"Lrp1"
"1586";"Lrpprc"
"1587";"Lrr1"
"1588";"Lrrc14"
"1589";"Lrrc41"
"1590";"Lrrc59"
"1591";"Lrrc8c"
"1592";"Lrrn3"
"1593";"Lsm12"
"1594";"Lsm2"
"1595";"Lsm3"
"1596";"Lsm4"
"1597";"Lsm7"
"1598";"Lsm8"
"1599";"Lsp1"
"1600";"Lst1"
"1601";"Lta4h"
"1602";"Ltb"
"1603";"Ltb4r1"
"1604";"Ltf"
"1605";"Luc7l"
"1606";"Ly6a"
"1607";"Ly6c2"
"1608";"Ly6d"
"1609";"Ly6e"
"1610";"Ly6g"
"1611";"Ly6i"
"1612";"Ly6k"
"1613";"Ly86"
"1614";"Ly9"
"1615";"Lyar"
"1616";"Lyrm4"
"1617";"Lyz1"
"1618";"Lyz2"
"1619";"M1ap"
"1620";"M6pr"
"1621";"Macrod1"
"1622";"Mad2l1"
"1623";"Maf"
"1624";"Mafb"
"1625";"Maged1"
"1626";"Magoh"
"1627";"Magohb"
"1628";"Magt1"
"1629";"Mak16"
"1630";"Maml2"
"1631";"Man1a"
"1632";"Manf"
"1633";"Map3k7"
"1634";"Map4k1"
"1635";"Mapk13"
"1636";"Mapk9"
"1637";"Marcks"
"1638";"Marcksl1"
"1639";"Marf1"
"1640";"Matk"
"1641";"Mbd2"
"1642";"Mbnl3"
"1643";"Mcemp1"
"1644";"Mcfd2"
"1645";"Mcm10"
"1646";"Mcm3"
"1647";"Mcm7"
"1648";"Mcoln2"
"1649";"Mcpt8"
"1650";"Mcub"
"1651";"Mdga1"
"1652";"Mdh2"
"1653";"Mdk"
"1654";"Mdm1"
"1655";"Mdn1"
"1656";"Me2"
"1657";"Mecr"
"1658";"Med10"
"1659";"Med21"
"1660";"Med25"
"1661";"Med7"
"1662";"Med9"
"1663";"Mef2c"
"1664";"Mefv"
"1665";"Meis1"
"1666";"Melk"
"1667";"Memo1"
"1668";"Mertk"
"1669";"Met"
"1670";"Metap1d"
"1671";"Metap2"
"1672";"Metrnl"
"1673";"Mettl1"
"1674";"Mettl16"
"1675";"Mettl8"
"1676";"Mfap3l"
"1677";"Mfge8"
"1678";"Mfhas1"
"1679";"Mfng"
"1680";"Mfsd10"
"1681";"Mfsd2b"
"1682";"Mgam"
"1683";"Mgat5"
"1684";"Mgl2"
"1685";"Mgll"
"1686";"Mgst1"
"1687";"Mgst2"
"1688";"Mgst3"
"1689";"Mia2"
"1690";"Mif"
"1691";"Mif4gd"
"1692";"Miip"
"1693";"Milr1"
"1694";"Minpp1"
"1695";"Mis18bp1"
"1696";"Mkrn1"
"1697";"Mllt3"
"1698";"Mllt6"
"1699";"Mmp14"
"1700";"Mmp25"
"1701";"Mmp8"
"1702";"Mmp9"
"1703";"Mmrn1"
"1704";"Mms22l"
"1705";"Mnd1"
"1706";"Mndal"
"1707";"Mns1"
"1708";"Mogat2"
"1709";"Mogs"
"1710";"Morf4l2"
"1711";"Mospd3"
"1712";"Mpc1"
"1713";"Mpeg1"
"1714";"Mphosph10"
"1715";"Mpl"
"1716";"Mpo"
"1717";"Mpp1"
"1718";"Mpv17l2"
"1719";"Mpzl1"
"1720";"Mrap"
"1721";"Mrc1"
"1722";"Mrgpra2b"
"1723";"Mrpl12"
"1724";"Mrpl15"
"1725";"Mrpl16"
"1726";"Mrpl17"
"1727";"Mrpl18"
"1728";"Mrpl19"
"1729";"Mrpl2"
"1730";"Mrpl20"
"1731";"Mrpl21"
"1732";"Mrpl22"
"1733";"Mrpl23"
"1734";"Mrpl28"
"1735";"Mrpl3"
"1736";"Mrpl30"
"1737";"Mrpl33"
"1738";"Mrpl34"
"1739";"Mrpl35"
"1740";"Mrpl36"
"1741";"Mrpl37"
"1742";"Mrpl38"
"1743";"Mrpl41"
"1744";"Mrpl42"
"1745";"Mrpl44"
"1746";"Mrpl47"
"1747";"Mrpl49"
"1748";"Mrpl50"
"1749";"Mrpl51"
"1750";"Mrpl52"
"1751";"Mrpl55"
"1752";"Mrpl57"
"1753";"Mrpl9"
"1754";"Mrps11"
"1755";"Mrps18b"
"1756";"Mrps22"
"1757";"Mrps24"
"1758";"Mrps26"
"1759";"Mrps28"
"1760";"Mrps34"
"1761";"Mrps36"
"1762";"Mrps5"
"1763";"Mrps6"
"1764";"Mrps7"
"1765";"Mrto4"
"1766";"Ms4a1"
"1767";"Ms4a2"
"1768";"Ms4a3"
"1769";"Ms4a4b"
"1770";"Ms4a4c"
"1771";"Ms4a6b"
"1772";"Ms4a6c"
"1773";"Ms4a6d"
"1774";"Ms4a7"
"1775";"Ms4a8a"
"1776";"Msantd3"
"1777";"Msi2"
"1778";"Msr1"
"1779";"Msrb1"
"1780";"Mt1"
"1781";"Mt2"
"1782";"Mta3"
"1783";"Mtap"
"1784";"Mtch2"
"1785";"Mtdh"
"1786";"Mtfp1"
"1787";"Mtfr1"
"1788";"Mthfd1"
"1789";"Mthfd1l"
"1790";"Mthfd2"
"1791";"Mtss1"
"1792";"Mtus1"
"1793";"Mtus2"
"1794";"Mtx2"
"1795";"Muc13"
"1796";"Mxd1"
"1797";"Mxd3"
"1798";"Mxd4"
"1799";"Myb"
"1800";"Mybbp1a"
"1801";"Mybl2"
"1802";"Myc"
"1803";"Mycn"
"1804";"Myct1"
"1805";"Myef2"
"1806";"Myl10"
"1807";"Myl2"
"1808";"Myl4"
"1809";"Mylk"
"1810";"Mylk3"
"1811";"Mylpf"
"1812";"Myo1b"
"1813";"Myo1c"
"1814";"Myo1d"
"1815";"Myo1e"
"1816";"Myo1f"
"1817";"Myom1"
"1818";"Mzb1"
"1819";"N4bp3"
"1820";"N6amt1"
"1821";"Naa10"
"1822";"Naa15"
"1823";"Naa25"
"1824";"Naa50"
"1825";"Naaa"
"1826";"Nacc2"
"1827";"Nadk2"
"1828";"Nae1"
"1829";"Naga"
"1830";"Nans"
"1831";"Nap1l1"
"1832";"Napsa"
"1833";"Narf"
"1834";"Nars"
"1835";"Nat10"
"1836";"Nav1"
"1837";"Ncam1"
"1838";"Ncapd3"
"1839";"Ncapg"
"1840";"Ncapg2"
"1841";"Ncaph"
"1842";"Ncaph2"
"1843";"Nceh1"
"1844";"Ncf1"
"1845";"Ncf4"
"1846";"Nckipsd"
"1847";"Ncl"
"1848";"Ncln"
"1849";"Ncoa3"
"1850";"Ncoa7"
"1851";"Ncr1"
"1852";"Ndc1"
"1853";"Nde1"
"1854";"Ndn"
"1855";"Ndrg1"
"1856";"Ndrg2"
"1857";"Ndufa10"
"1858";"Ndufa12"
"1859";"Ndufa5"
"1860";"Ndufa9"
"1861";"Ndufab1"
"1862";"Ndufaf2"
"1863";"Ndufaf4"
"1864";"Ndufb10"
"1865";"Ndufb6"
"1866";"Ndufb9"
"1867";"Ndufc1"
"1868";"Ndufc2"
"1869";"Ndufs1"
"1870";"Ndufs6"
"1871";"Ndufs7"
"1872";"Ndufv1"
"1873";"Necap2"
"1874";"Nedd4"
"1875";"Nefh"
"1876";"Neil3"
"1877";"Nek6"
"1878";"Nek8"
"1879";"Nenf"
"1880";"Net1"
"1881";"Neu1"
"1882";"Nfatc2ip"
"1883";"Nfe2l2"
"1884";"Nfia"
"1885";"Nfil3"
"1886";"Nfkb2"
"1887";"Nfkbia"
"1888";"Nfkbid"
"1889";"Nfkbie"
"1890";"Nfs1"
"1891";"Nfyb"
"1892";"Ngp"
"1893";"Nhp2"
"1894";"Nif3l1"
"1895";"Nip7"
"1896";"Nipa1"
"1897";"Nkg7"
"1898";"Nle1"
"1899";"Nlrp12"
"1900";"Nlrp3"
"1901";"Nmb"
"1902";"Nmd3"
"1903";"Nme1"
"1904";"Nme2"
"1905";"Nme4"
"1906";"Nme6"
"1907";"Nmnat3"
"1908";"Nmral1"
"1909";"Nmrk1"
"1910";"Noa1"
"1911";"Nob1"
"1912";"Noc2l"
"1913";"Noc4l"
"1914";"Nol10"
"1915";"Nol4l"
"1916";"Nol8"
"1917";"Nol9"
"1918";"Nolc1"
"1919";"Nomo1"
"1920";"Nop10"
"1921";"Nop14"
"1922";"Nop16"
"1923";"Nop2"
"1924";"Nop56"
"1925";"Nop58"
"1926";"Nop9"
"1927";"Nos1ap"
"1928";"Notch1"
"1929";"Notch2"
"1930";"Npl"
"1931";"Npm1"
"1932";"Npm3"
"1933";"Nptn"
"1934";"Nqo1"
"1935";"Nr1h3"
"1936";"Nr4a1"
"1937";"Nrarp"
"1938";"Nrg1"
"1939";"Nrg4"
"1940";"Nrgn"
"1941";"Nrp1"
"1942";"Nrp2"
"1943";"Nrxn1"
"1944";"Nsd2"
"1945";"Nsg1"
"1946";"Nsg2"
"1947";"Nsl1"
"1948";"Nsmce4a"
"1949";"Nsun2"
"1950";"Nsun5"
"1951";"Nt5c3"
"1952";"Nt5dc2"
"1953";"Ntmt1"
"1954";"Ntrk3"
"1955";"Nubp2"
"1956";"Nucb2"
"1957";"Nucks1"
"1958";"Nudc"
"1959";"Nudcd2"
"1960";"Nudt19"
"1961";"Nudt4"
"1962";"Nudt9"
"1963";"Nup107"
"1964";"Nup155"
"1965";"Nup210"
"1966";"Nup35"
"1967";"Nup37"
"1968";"Nup43"
"1969";"Nup50"
"1970";"Nup62"
"1971";"Nup85"
"1972";"Nup93"
"1973";"Nupr1"
"1974";"Nxpe2"
"1975";"Nxpe4"
"1976";"Oaf"
"1977";"Oas2"
"1978";"Oas3"
"1979";"Oasl1"
"1980";"Oasl2"
"1981";"Oat"
"1982";"Obscn"
"1983";"Ociad2"
"1984";"Odc1"
"1985";"Oip5"
"1986";"Olfm1"
"1987";"Olfm4"
"1988";"Olfml2b"
"1989";"Olr1"
"1990";"Oosp1"
"1991";"Optn"
"1992";"Orc1"
"1993";"Orc2"
"1994";"Orc3"
"1995";"Orc5"
"1996";"Orc6"
"1997";"Orm1"
"1998";"Ormdl3"
"1999";"Osgepl1"
"2000";"Osgin1"
"2001";"Osm"
"2002";"Ostc"
"2003";"Otos"
"2004";"Otub2"
"2005";"Oxct1"
"2006";"P2rx1"
"2007";"P2rx4"
"2008";"P2rx7"
"2009";"P2ry13"
"2010";"P2ry14"
"2011";"P4hb"
"2012";"Pa2g4"
"2013";"Pabpc1"
"2014";"Pabpc4"
"2015";"Pacsin1"
"2016";"Pacsin2"
"2017";"Padi2"
"2018";"Padi4"
"2019";"Pafah1b3"
"2020";"Pafah2"
"2021";"Paics"
"2022";"Paip2b"
"2023";"Palld"
"2024";"Palm"
"2025";"Papss2"
"2026";"Paqr4"
"2027";"Paqr5"
"2028";"Paqr9"
"2029";"Parm1"
"2030";"Parp1"
"2031";"Parp14"
"2032";"Parp3"
"2033";"Parp8"
"2034";"Parpbp"
"2035";"Parvb"
"2036";"Pax5"
"2037";"Pbdc1"
"2038";"Pbk"
"2039";"Pbx1"
"2040";"Pcbd1"
"2041";"Pccb"
"2042";"Pck2"
"2043";"Pclaf"
"2044";"Pcnt"
"2045";"Pcnx4"
"2046";"Pcp4l1"
"2047";"Pcyox1l"
"2048";"Pcyt1a"
"2049";"Pdap1"
"2050";"Pdcd1"
"2051";"Pdcd11"
"2052";"Pdcd4"
"2053";"Pdcd5"
"2054";"Pde4d"
"2055";"Pde4dip"
"2056";"Pde5a"
"2057";"Pdgfb"
"2058";"Pdia3"
"2059";"Pdia4"
"2060";"Pdia5"
"2061";"Pdia6"
"2062";"Pdik1l"
"2063";"Pdk1"
"2064";"Pdlim1"
"2065";"Pds5b"
"2066";"Pdzk1ip1"
"2067";"Pebp1"
"2068";"Pecam1"
"2069";"Pelp1"
"2070";"Penk"
"2071";"Pepd"
"2072";"Per3"
"2073";"Perp"
"2074";"Pf4"
"2075";"Pfas"
"2076";"Pfdn1"
"2077";"Pfdn4"
"2078";"Pfdn6"
"2079";"Pfkfb4"
"2080";"Pfkm"
"2081";"Pgam1"
"2082";"Pgam2"
"2083";"Pglyrp1"
"2084";"Pgm2"
"2085";"Pgp"
"2086";"Pgpep1"
"2087";"Pgr"
"2088";"Phactr4"
"2089";"Phb"
"2090";"Phb2"
"2091";"Phf10"
"2092";"Phf11a"
"2093";"Phf11b"
"2094";"Phf11d"
"2095";"Phf5a"
"2096";"Phgdh"
"2097";"Phkg1"
"2098";"Phlda1"
"2099";"Phlda3"
"2100";"Phldb3"
"2101";"Phpt1"
"2102";"Pi16"
"2103";"Picalm"
"2104";"Pid1"
"2105";"Pif1"
"2106";"Pigq"
"2107";"Pik3ip1"
"2108";"Pik3r2"
"2109";"Pik3r6"
"2110";"Pilra"
"2111";"Pilrb1"
"2112";"Pim1"
"2113";"Pim2"
"2114";"Pin1"
"2115";"Pinx1"
"2116";"Pip4k2c"
"2117";"Pir"
"2118";"Pirb"
"2119";"Pithd1"
"2120";"Pitpnc1"
"2121";"Pitrm1"
"2122";"Pkib"
"2123";"Pkig"
"2124";"Pklr"
"2125";"Pkm"
"2126";"Pkp3"
"2127";"Pla2g12a"
"2128";"Pla2g4a"
"2129";"Pla2g7"
"2130";"Plac8"
"2131";"Plbd1"
"2132";"Plcb1"
"2133";"Pld3"
"2134";"Pld4"
"2135";"Plek"
"2136";"Plekha2"
"2137";"Plin2"
"2138";"Plk1"
"2139";"Plk2"
"2140";"Plk4"
"2141";"Plod3"
"2142";"Plp2"
"2143";"Plpp1"
"2144";"Plppr3"
"2145";"Plscr1"
"2146";"Plscr3"
"2147";"Pltp"
"2148";"Plxdc2"
"2149";"Plxnb2"
"2150";"Plxnc1"
"2151";"Plxnd1"
"2152";"Pmaip1"
"2153";"Pmepa1"
"2154";"Pmf1"
"2155";"Pml"
"2156";"Pmm1"
"2157";"Pno1"
"2158";"Pnp"
"2159";"Pnp2"
"2160";"Pnpt1"
"2161";"Poc1a"
"2162";"Podnl1"
"2163";"Pola2"
"2164";"Pold1"
"2165";"Pold2"
"2166";"Poldip2"
"2167";"Pole"
"2168";"Pole2"
"2169";"Pole3"
"2170";"Poln"
"2171";"Polr1b"
"2172";"Polr1c"
"2173";"Polr1d"
"2174";"Polr2e"
"2175";"Polr2f"
"2176";"Polr2j"
"2177";"Polr2l"
"2178";"Polr3d"
"2179";"Polr3h"
"2180";"Polrmt"
"2181";"Pon2"
"2182";"Pon3"
"2183";"Pop1"
"2184";"Pop5"
"2185";"Pou2af1"
"2186";"Pou2f2"
"2187";"Ppa1"
"2188";"Ppan"
"2189";"Pparg"
"2190";"Ppat"
"2191";"Ppbp"
"2192";"Ppfia4"
"2193";"Ppia"
"2194";"Ppic"
"2195";"Ppid"
"2196";"Ppif"
"2197";"Ppih"
"2198";"Ppil1"
"2199";"Ppm1g"
"2200";"Ppm1l"
"2201";"Ppox"
"2202";"Ppp1r14b"
"2203";"Ppp1r15a"
"2204";"Ppp1r16b"
"2205";"Ppp1r18"
"2206";"Ppp1r3b"
"2207";"Ppp1r9a"
"2208";"Ppp2r1b"
"2209";"Ppp2r3a"
"2210";"Ppp4r2"
"2211";"Prc1"
"2212";"Prdm1"
"2213";"Prdm16"
"2214";"Prdx1"
"2215";"Prdx2"
"2216";"Prdx3"
"2217";"Prdx4"
"2218";"Prdx6"
"2219";"Prelid2"
"2220";"Prelid3b"
"2221";"Prep"
"2222";"Prg2"
"2223";"Prg3"
"2224";"Prim2"
"2225";"Prkab1"
"2226";"Prkag1"
"2227";"Prkar2a"
"2228";"Prkar2b"
"2229";"Prkca"
"2230";"Prkcq"
"2231";"Prmt1"
"2232";"Prmt5"
"2233";"Prmt7"
"2234";"Prnp"
"2235";"Prodh"
"2236";"Prom1"
"2237";"Prorsd1"
"2238";"Pros1"
"2239";"Proser2"
"2240";"Prpf19"
"2241";"Prpsap1"
"2242";"Prr11"
"2243";"Prr5"
"2244";"Prr5l"
"2245";"Prss16"
"2246";"Prss2"
"2247";"Prss34"
"2248";"Prss50"
"2249";"Prss57"
"2250";"Prtn3"
"2251";"Psap"
"2252";"Psat1"
"2253";"Psen2"
"2254";"Psip1"
"2255";"Psma3"
"2256";"Psma5"
"2257";"Psma7"
"2258";"Psma8"
"2259";"Psmb3"
"2260";"Psmb4"
"2261";"Psmb7"
"2262";"Psmb8"
"2263";"Psmc2"
"2264";"Psmc3ip"
"2265";"Psmc5"
"2266";"Psmd1"
"2267";"Psmd11"
"2268";"Psmd12"
"2269";"Psmd2"
"2270";"Psmd3"
"2271";"Psmd4"
"2272";"Psmd5"
"2273";"Psmd6"
"2274";"Psmd7"
"2275";"Psmd9"
"2276";"Psme3"
"2277";"Psmf1"
"2278";"Psmg1"
"2279";"Psmg2"
"2280";"Psmg3"
"2281";"Pspc1"
"2282";"Ptcd3"
"2283";"Ptdss2"
"2284";"Ptger2"
"2285";"Ptger3"
"2286";"Ptges3"
"2287";"Ptgr1"
"2288";"Ptgs1"
"2289";"Ptgs2"
"2290";"Ptma"
"2291";"Ptms"
"2292";"Ptov1"
"2293";"Ptpn7"
"2294";"Ptprcap"
"2295";"Ptprf"
"2296";"Ptprj"
"2297";"Ptpro"
"2298";"Ptprs"
"2299";"Ptrh2"
"2300";"Pus7"
"2301";"Pusl1"
"2302";"Pxmp2"
"2303";"Pycard"
"2304";"Pycr1"
"2305";"Pycr2"
"2306";"Pycrl"
"2307";"Qdpr"
"2308";"Rab11fip1"
"2309";"Rab19"
"2310";"Rab27b"
"2311";"Rab37"
"2312";"Rab38"
"2313";"Rab3il1"
"2314";"Rab44"
"2315";"Rab4a"
"2316";"Rab7b"
"2317";"Rabep2"
"2318";"Rabgap1l"
"2319";"Rabggtb"
"2320";"Rabl6"
"2321";"Racgap1"
"2322";"Rack1"
"2323";"Rad1"
"2324";"Rad21"
"2325";"Rad23a"
"2326";"Rad50"
"2327";"Rad51d"
"2328";"Rad54b"
"2329";"Rad54l"
"2330";"Rag1"
"2331";"Rag2"
"2332";"Ralgapb"
"2333";"Ralgps2"
"2334";"Ramp1"
"2335";"Ran"
"2336";"Ranbp1"
"2337";"Ranbp10"
"2338";"Ranbp2"
"2339";"Rangrf"
"2340";"Rap1b"
"2341";"Rap2b"
"2342";"Raph1"
"2343";"Rapsn"
"2344";"Rars"
"2345";"Rasa4"
"2346";"Rasgrp1"
"2347";"Rasgrp2"
"2348";"Rasgrp3"
"2349";"Rasl11b"
"2350";"Rassf4"
"2351";"Rbbp7"
"2352";"Rbbp8"
"2353";"Rbks"
"2354";"Rbl1"
"2355";"Rbm15"
"2356";"Rbm44"
"2357";"Rbm47"
"2358";"Rbm8a"
"2359";"Rbms1"
"2360";"Rbmx"
"2361";"Rbmxl1"
"2362";"Rbp1"
"2363";"Rbpms"
"2364";"Rcc1"
"2365";"Rcc2"
"2366";"Rcl1"
"2367";"Rcsd1"
"2368";"Rdh12"
"2369";"Rec114"
"2370";"Rec8"
"2371";"Reck"
"2372";"Recql4"
"2373";"Reep2"
"2374";"Reep4"
"2375";"Reep6"
"2376";"Rel"
"2377";"Reln"
"2378";"Retn"
"2379";"Retnlg"
"2380";"Retsat"
"2381";"Rexo2"
"2382";"Rfc1"
"2383";"Rfc3"
"2384";"Rfc4"
"2385";"Rfc5"
"2386";"Rfesd"
"2387";"Rflnb"
"2388";"Rfwd3"
"2389";"Rfxap"
"2390";"Rgcc"
"2391";"Rgl1"
"2392";"Rgs1"
"2393";"Rgs10"
"2394";"Rgs12"
"2395";"Rgs18"
"2396";"Rgs2"
"2397";"Rhag"
"2398";"Rhd"
"2399";"Rhno1"
"2400";"Rhoc"
"2401";"Rhof"
"2402";"Rhoh"
"2403";"Rhoj"
"2404";"Rhou"
"2405";"Rif1"
"2406";"Rint1"
"2407";"Rmdn3"
"2408";"Rmi2"
"2409";"Rnase12"
"2410";"Rnase4"
"2411";"Rnase6"
"2412";"Rnaseh2a"
"2413";"Rnaseh2b"
"2414";"Rnaseh2c"
"2415";"Rnaset2a"
"2416";"Rnaset2b"
"2417";"Rnd1"
"2418";"Rnd3"
"2419";"Rnf123"
"2420";"Rnf128"
"2421";"Rnf17"
"2422";"Rnf220"
"2423";"Rnf26"
