"";"V1"
"288";"Bdh1"
"289";"Bdh2"
"290";"Bex1"
"291";"Bex3"
"292";"Bex4"
"293";"Bex6"
"294";"Bfsp2"
"295";"Bhlhe40"
"296";"Bin1"
"297";"Birc3"
"298";"Blk"
"299";"Blnk"
"300";"Bloc1s5"
"301";"Blvra"
"302";"Blvrb"
"303";"Bmp2k"
"304";"Bmpr1a"
"305";"Bms1"
"306";"Bmx"
"307";"Bmyc"
"308";"Bok"
"309";"Bola1"
"310";"Bola2"
"311";"Bola3"
"312";"Bop1"
"313";"Bora"
"314";"Bpgm"
"315";"Bphl"
"316";"Brca1"
"317";"Brca2"
"318";"Brd8"
"319";"Brix1"
"320";"Bsg"
"321";"Bsn"
"322";"Bspry"
"323";"Bst1"
"324";"Bst2"
"325";"Btaf1"
"326";"Btbd9"
"327";"Btf3"
"328";"Btg2"
"329";"Btla"
"330";"Btnl10"
"331";"Btnl9"
"332";"Bub1b"
"333";"Bub3"
"334";"Bysl"
"335";"Bzw2"
"336";"C1galt1"
"337";"C1galt1c1"
"338";"C1qa"
"339";"C1qb"
"340";"C1qbp"
"341";"C1qc"
"342";"C1rl"
"343";"C2cd5"
"344";"C3"
"345";"C5ar1"
"346";"Cacna1e"
"347";"Cacybp"
"348";"Cad"
"349";"Cadm1"
"350";"Calm2"
"351";"Calr"
"352";"Camk1d"
"353";"Camk2a"
"354";"Camk2b"
"355";"Camk2d"
"356";"Camk2n1"
"357";"Camp"
"358";"Camsap2"
"359";"Canx"
"360";"Capn2"
"361";"Car1"
"362";"Car2"
"363";"Car3"
"364";"Card10"
"365";"Carhsp1"
"366";"Carm1"
"367";"Carnmt1"
"368";"Cars"
"369";"Casp1"
"370";"Casp3"
"371";"Cbfa2t3"
"372";"Cbr2"
"373";"Cbx3"
"374";"Ccdc124"
"375";"Ccdc125"
"376";"Ccdc148"
"377";"Ccdc162"
"378";"Ccdc163"
"379";"Ccdc18"
"380";"Ccdc180"
"381";"Ccdc191"
"382";"Ccdc34"
"383";"Ccdc58"
"384";"Ccdc68"
"385";"Ccdc84"
"386";"Ccdc86"
"387";"Ccdc91"
"388";"Ccl2"
"389";"Ccl3"
"390";"Ccl4"
"391";"Ccl5"
"392";"Ccl6"
"393";"Ccl9"
"394";"Ccna2"
"395";"Ccnb1"
"396";"Ccnd1"
"397";"Ccnd2"
"398";"Ccnd3"
"399";"Ccne1"
"400";"Ccnf"
"401";"Ccng2"
"402";"Ccno"
"403";"Ccny"
"404";"Ccr1"
"405";"Ccr10"
"406";"Ccr2"
"407";"Ccr3"
"408";"Ccr5"
"409";"Ccr7"
"410";"Ccr9"
"411";"Cct2"
"412";"Cct3"
"413";"Cct4"
"414";"Cct5"
"415";"Cct6a"
"416";"Cct7"
"417";"Cct8"
"418";"Cd14"
"419";"Cd160"
"420";"Cd163"
"421";"Cd177"
"422";"Cd180"
"423";"Cd19"
"424";"Cd2"
"425";"Cd200"
"426";"Cd200r1"
"427";"Cd200r3"
"428";"Cd200r4"
"429";"Cd209a"
"430";"Cd209d"
"431";"Cd209f"
"432";"Cd209g"
"433";"Cd22"
"434";"Cd226"
"435";"Cd247"
"436";"Cd24a"
"437";"Cd27"
"438";"Cd28"
"439";"Cd2ap"
"440";"Cd300c"
"441";"Cd300lb"
"442";"Cd300ld"
"443";"Cd300lf"
"444";"Cd300lg"
"445";"Cd302"
"446";"Cd33"
"447";"Cd34"
"448";"Cd36"
"449";"Cd38"
"450";"Cd3d"
"451";"Cd3e"
"452";"Cd3eap"
"453";"Cd3g"
